"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Abrupt Decay","gk1","Near Mint","English","","","2025-04-07 23:55:14.103000","57","False","False",""
"1","1","Acererak the Archlich","afr","Near Mint","English","","","2025-04-15 05:40:44.770000","87","False","False",""
"1","1","Aetherize","rvr","Near Mint","English","","","2025-04-20 20:14:36.047000","448","False","False",""
"1","1","Agate Instigator","blc","Near Mint","English","","","2025-04-21 11:47:18.543000","56","False","False",""
"1","1","Akiri, Line-Slinger","c16","Near Mint","English","foil","","2025-04-07 23:55:14.103000","26","False","False",""
"1","1","Anguished Unmaking","soi","Near Mint","English","foil","","2025-04-20 20:14:36.047000","242","False","False",""
"1","1","Anim Pakal, Thousandth Moon","lci","Near Mint","English","","","2025-04-07 23:55:14.103000","223","False","False",""
"1","1","Arahbo, the First Fang","fdn","Near Mint","English","foil","","2025-04-20 20:14:36.047000","442","False","False",""
"1","1","Archfiend of Depravity","frf","Near Mint","English","","","2025-04-15 05:40:44.770000","62","False","False",""
"1","1","Archpriest of Shadows","mom","Near Mint","English","","","2025-04-20 05:03:58.287000","89","False","False",""
"1","1","Argentum Armor","c17","Near Mint","English","","","2025-04-07 23:44:26.733000","202","False","False",""
"1","1","Artist's Talent","blb","Near Mint","English","","","2025-04-21 11:47:18.543000","124","False","False",""
"1","1","Arwen, Mortal Queen","ltr","Near Mint","English","","","2025-04-07 23:55:14.103000","193","False","False",""
"1","1","Arwen, Weaver of Hope","ltc","Near Mint","English","","","2025-04-20 20:14:36.047000","35","False","False",""
"1","1","Atarka, World Render","c17","Near Mint","English","","","2025-04-20 20:14:36.047000","161","False","False",""
"1","1","Atsushi, the Blazing Sky","tdc","Near Mint","English","","","2025-04-07 23:40:24.323000","204","False","False",""
"1","1","Aura Mutation","c16","Near Mint","English","","","2025-04-20 20:14:36.047000","180","False","False",""
"1","1","Authority of the Consuls","kld","Near Mint","English","","","2025-04-21 11:47:18.543000","5","False","False",""
"1","1","Avacyn, Angel of Hope","cmm","Near Mint","English","foil","","2025-04-20 20:14:36.047000","14","False","False",""
"1","1","Avaricious Dragon","ori","Near Mint","English","","","2025-04-21 11:47:18.543000","131","False","False",""
"1","1","Aven Interrupter","otj","Near Mint","English","","","2025-04-21 11:47:18.543000","4","False","False",""
"1","1","Avenger of the Fallen","tdm","Near Mint","English","foil","","2025-04-07 23:34:18.657000","337","False","False",""
"1","1","Ayara, First of Locthwain","eld","Near Mint","English","","","2025-04-15 05:40:44.770000","75","False","False",""
"1","1","Back in Town","otc","Near Mint","English","","","2025-04-15 02:01:33.417000","18","False","False",""
"1","1","Bala Ged Recovery // Bala Ged Sanctuary","znr","Near Mint","English","","","2025-04-20 20:14:36.047000","180","False","False",""
"1","1","Baleful Mastery","otc","Near Mint","English","","","2025-04-15 05:41:15.530000","126","False","False",""
"1","1","Baleful Strix","brc","Near Mint","English","","","2025-04-20 20:14:36.047000","120","False","False",""
"1","1","Baral, Chief of Compliance","aer","Near Mint","English","foil","","2025-04-20 20:14:36.047000","28","False","False",""
"1","1","Barbara Wright","who","Near Mint","English","foil","","2025-04-21 11:47:18.543000","926","False","False",""
"1","1","Baylen, the Haymaker","blb","Near Mint","English","foil","","2025-04-15 02:07:53.690000","205","False","False",""
"1","1","Baylen, the Haymaker","blb","Near Mint","English","","","2025-04-15 02:08:09.293000","205","False","False",""
"1","1","Beacon of Tomorrows","dds","Near Mint","English","","","2025-04-20 20:14:36.047000","2","False","False",""
"1","1","Bearscape","sld","Near Mint","English","foil","","2025-04-20 20:14:36.047000","1008","False","False",""
"1","1","Beast Whisperer","p30a","Near Mint","English","foil","","2025-04-20 20:14:36.047000","26","False","False",""
"1","1","Beast Whisperer","grn","Near Mint","English","","","2025-04-20 20:14:36.047000","123","False","False",""
"1","1","Beast Within","ltc","Near Mint","English","","","2025-04-20 20:14:36.047000","234","False","False",""
"1","1","Benefactor's Draught","c16","Near Mint","English","","","2025-04-20 20:14:36.047000","21","False","False",""
"1","1","Betor, Kin to All","tdm","Near Mint","English","foil","","2025-04-07 23:55:14.103000","172","False","False",""
"1","1","Black Market Connections","lcc","Near Mint","English","","","2025-04-15 05:40:44.770000","181","False","False",""
"1","1","Bladewing the Risen","c17","Near Mint","English","","","2025-04-15 01:53:30.880000","163","False","False",""
"1","1","Blasphemous Act","lcc","Near Mint","English","","","2025-04-21 11:47:18.543000","216","False","False",""
"1","1","Blasphemous Act","ltc","Near Mint","English","","","2025-04-20 20:14:36.047000","211","False","False",""
"1","1","Blasphemous Act","c18","Near Mint","English","","","2025-04-07 23:40:24.323000","120","False","False",""
"1","1","Blightwing Bandit","woc","Near Mint","English","","","2025-04-15 05:40:44.770000","49","False","False",""
"1","1","Blind Obedience","c16","Near Mint","English","","","2025-04-15 02:32:21.687000","59","False","False",""
"1","1","Blind Obedience","wot","Near Mint","English","","","2025-04-21 11:47:18.543000","1","False","False",""
"1","1","Blinkmoth Urn","c18","Near Mint","English","","","2025-04-07 23:44:26.733000","197","False","False",""
"1","1","Bloodchief Ascension","cmm","Near Mint","English","","","2025-04-15 05:40:44.770000","139","False","False",""
"1","1","Bloodthirster","40k","Near Mint","English","","","2025-04-21 11:48:00.647000","73","False","False",""
"1","1","Blossoming Tortoise","woe","Near Mint","English","","","2025-04-20 20:14:36.047000","163","False","False",""
"1","1","Bone Sabres","40k","Near Mint","English","","","2025-04-20 20:14:36.047000","88","False","False",""
"1","1","Boneyard Scourge","c17","Near Mint","English","","","2025-04-15 05:40:44.770000","15","False","False",""
"1","1","Bontu the Glorified","akh","Near Mint","English","","","2025-04-21 11:47:18.543000","82","False","False",""
"1","1","Borne Upon a Wind","ltr","Near Mint","English","","","2025-04-20 20:14:36.047000","44","False","False",""
"1","1","Brainstealer Dragon","otc","Near Mint","English","","","2025-04-15 05:40:44.770000","127","False","False",""
"1","1","Brainstorm","sta","Near Mint","English","etched","","2025-04-20 20:14:36.047000","13","False","False",""
"1","1","Brainstorm","40k","Near Mint","English","","","2025-04-20 20:14:36.047000","192","False","False",""
"1","1","Brainstorm","c21","Near Mint","English","","","2025-04-20 20:14:36.047000","115","False","False",""
"1","1","Brallin, Skyshark Rider","c20","Near Mint","English","","","2025-04-21 11:47:18.543000","4","False","False",""
"1","1","Branching Evolution","lcc","Near Mint","English","","","2025-04-20 20:14:36.047000","234","False","False",""
"1","1","Brass's Tunnel-Grinder // Tecutlan, the Searing Rift","lci","Near Mint","English","foil","","2025-04-21 11:47:18.543000","135","False","False",""
"1","1","Breathkeeper Seraph","voc","Near Mint","English","","","2025-04-21 11:47:18.543000","31","False","False",""
